* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.250. Timing signal peak level -25.3 dBFS, measurement signal peak level -24.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 6. 10 오전 2:41:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0223 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: Zero:Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
17.000000	88.173	-108.1324
17.250000	88.248	-109.2587
17.500000	88.319	-110.3711
17.750000	88.386	-111.4646
18.000000	88.449	-112.5363
18.250000	88.507	-113.5831
18.500000	88.563	-114.6031
18.750000	88.616	-115.5975
19.000000	88.668	-116.5673
19.250000	88.718	-117.5164
19.500000	88.766	-118.4478
19.750000	88.813	-119.3639
20.000000	88.859	-120.2671
20.299999	88.911	-121.3347
20.600000	88.961	-122.3839
20.900000	89.007	-123.4130
21.200001	89.050	-124.4194
21.400000	89.078	-125.0763
21.799999	89.129	-126.3565
22.000000	89.154	-126.9806
22.400000	89.202	-128.2010
22.700001	89.238	-129.0970
23.000000	89.272	-129.9817
23.299999	89.305	-130.8570
23.600000	89.335	-131.7225
24.000000	89.372	-132.8576
24.299999	89.398	-133.6902
24.700001	89.428	-134.7711
25.000000	89.449	-135.5598
25.400000	89.475	-136.5852
25.799999	89.500	-137.5858
26.200001	89.522	-138.5649
26.500000	89.538	-139.2849
26.900000	89.557	-140.2244
27.200001	89.570	-140.9134
27.600000	89.585	-141.8122
28.000000	89.600	-142.6906
28.500000	89.616	-143.7623
29.000000	89.630	-144.8047
29.500000	89.641	-145.8182
30.000000	89.651	-146.8060
30.400000	89.657	-147.5799
30.700001	89.661	-148.1506
31.100000	89.666	-148.8979
31.500000	89.670	-149.6301
32.000000	89.675	-150.5286
32.500000	89.679	-151.4142
33.000000	89.681	-152.2856
33.500000	89.680	-153.1333
34.000000	89.677	-153.9499
34.500000	89.675	-154.7404
35.000000	89.674	-155.5168
35.500000	89.673	-156.2864
36.000000	89.669	-157.0452
36.500000	89.664	-157.7862
37.000000	89.657	-158.5078
37.500000	89.650	-159.2137
38.200001	89.638	-160.1793
38.700001	89.629	-160.8510
39.500000	89.612	-161.8951
40.000000	89.601	-162.5316
40.599998	89.587	-163.2793
41.200001	89.572	-164.0075
41.799999	89.558	-164.7184
42.500000	89.540	-165.5316
43.099998	89.523	-166.2144
43.700001	89.506	-166.8803
44.400002	89.485	-167.6365
45.000000	89.466	-168.2701
45.500000	89.450	-168.7887
46.200001	89.426	-169.4988
46.799999	89.405	-170.0923
47.500000	89.380	-170.7689
48.200001	89.355	-171.4306
48.700001	89.336	-171.8952
49.400002	89.308	-172.5354
50.000000	89.281	-173.0755
50.799999	89.241	-173.7803
51.500000	89.202	-174.3788
52.200001	89.164	-174.9615
53.000000	89.120	-175.6126
53.799999	89.075	-176.2444
54.500000	89.035	-176.7797
55.200001	88.995	-177.3042
56.000000	88.949	-177.8929
57.000000	88.888	-178.6097
58.000000	88.824	-179.3057
59.000000	88.759	-179.9625
60.000000	88.700	179.3871
60.799999	88.651	178.8459
61.500000	88.606	178.3893
62.200001	88.562	177.9650
63.000000	88.518	177.4913
64.000000	88.468	176.8901
65.000000	88.416	176.3123
66.000000	88.364	175.7635
67.000000	88.310	175.2225
68.000000	88.248	174.6973
69.000000	88.183	174.2493
70.000000	88.130	173.8350
71.000000	88.083	173.3514
72.000000	88.029	172.8552
73.000000	87.974	172.4114
74.000000	87.925	171.9786
75.000000	87.874	171.5403
76.199997	87.809	171.0491
77.500000	87.739	170.5478
78.800003	87.668	170.0435
80.000000	87.598	169.5851
81.199997	87.525	169.1457
82.500000	87.447	168.6794
83.800003	87.367	168.2325
85.000000	87.292	167.8411
86.199997	87.214	167.4762
87.500000	87.129	167.1158
88.500000	87.064	166.8509
90.000000	86.966	166.4557
91.199997	86.886	166.1510
92.500000	86.798	165.8450
93.800003	86.710	165.5740
95.000000	86.630	165.3709
96.199997	86.555	165.1992
97.500000	86.474	165.0328
98.800003	86.398	164.9003
100.000000	86.332	164.7761
101.500000	86.251	164.6003
103.000000	86.170	164.4147
104.400002	86.094	164.2289
106.000000	86.005	164.0110
107.500000	85.918	163.8157
109.000000	85.830	163.6407
110.599998	85.735	163.4744
112.000000	85.652	163.3512
113.800003	85.545	163.2238
115.000000	85.475	163.1528
117.199997	85.348	163.0509
118.000000	85.302	163.0241
120.599998	85.154	162.9684
122.000000	85.074	162.9537
124.099998	84.957	162.9756
125.000000	84.910	163.0006
126.500000	84.837	163.0523
128.000000	84.769	163.1138
131.500000	84.618	163.3309
132.000000	84.597	163.3705
134.000000	84.519	163.5493
136.000000	84.445	163.7494
138.000000	84.374	163.9579
140.000000	84.308	164.1738
143.000000	84.221	164.4852
145.000000	84.166	164.6823
147.500000	84.098	164.9321
150.000000	84.032	165.1705
152.500000	83.967	165.4013
155.000000	83.905	165.6581
157.500000	83.842	165.9244
160.000000	83.773	166.2054
162.500000	83.701	166.5034
165.000000	83.631	166.8060
167.500000	83.562	167.1209
170.000000	83.495	167.4434
172.500000	83.430	167.7688
175.000000	83.369	168.1082
177.500000	83.311	168.4496
180.000000	83.253	168.7916
182.500000	83.196	169.1393
185.000000	83.141	169.4943
187.500000	83.088	169.8644
190.000000	83.038	170.2617
192.500000	82.991	170.6839
195.000000	82.946	171.1359
197.500000	82.907	171.6229
200.000000	82.877	172.1399
203.000000	82.860	172.7800
206.000000	82.865	173.3846
209.000000	82.884	173.8931
212.000000	82.907	174.2875
214.000000	82.921	174.4938
218.000000	82.942	174.8163
220.000000	82.948	174.9579
224.000000	82.953	175.2335
227.000000	82.953	175.4438
230.000000	82.952	175.6650
233.000000	82.950	175.8953
236.000000	82.949	176.1262
240.000000	82.955	176.4169
243.000000	82.959	176.6161
247.000000	82.957	176.8672
250.000000	82.954	177.0499
254.000000	82.950	177.2879
258.000000	82.942	177.5193
262.000000	82.933	177.7365
265.000000	82.926	177.8909
269.000000	82.916	178.1035
272.000000	82.909	178.2679
276.000000	82.900	178.4760
280.000000	82.891	178.6693
285.000000	82.880	178.9099
290.000000	82.870	179.1447
295.000000	82.855	179.3798
300.000000	82.838	179.6322
304.000000	82.825	179.8710
307.000000	82.815	-179.9179
311.000000	82.806	-179.5888
315.000000	82.809	-179.2127
320.000000	82.842	-178.7161
325.000000	82.910	-178.2922
330.000000	83.000	-178.0782
335.000000	83.086	-178.1227
340.000000	83.149	-178.3527
345.000000	83.183	-178.6492
350.000000	83.196	-178.9204
355.000000	83.195	-179.1278
360.000000	83.186	-179.2728
365.000000	83.173	-179.3664
370.000000	83.158	-179.4169
375.000000	83.142	-179.4395
382.000000	83.120	-179.4405
387.000000	83.104	-179.4176
395.000000	83.080	-179.3551
400.000000	83.064	-179.3042
406.000000	83.045	-179.2299
412.000000	83.026	-179.1435
418.000000	83.008	-179.0487
425.000000	82.987	-178.9285
431.000000	82.969	-178.8135
437.000000	82.951	-178.6905
444.000000	82.930	-178.5396
450.000000	82.913	-178.4029
455.000000	82.898	-178.2863
462.000000	82.878	-178.1158
468.000000	82.861	-177.9616
475.000000	82.841	-177.7788
482.000000	82.823	-177.5935
487.000000	82.809	-177.4541
494.000000	82.792	-177.2482
500.000000	82.778	-177.0692
508.000000	82.762	-176.8297
515.000000	82.750	-176.6131
522.000000	82.740	-176.3900
530.000000	82.728	-176.1302
538.000000	82.716	-175.8648
545.000000	82.705	-175.6249
552.000000	82.695	-175.3814
560.000000	82.685	-175.0994
570.000000	82.674	-174.7361
580.000000	82.664	-174.3651
590.000000	82.655	-173.9876
600.000000	82.646	-173.6042
608.000000	82.641	-173.2898
615.000000	82.637	-173.0087
622.000000	82.634	-172.7271
630.000000	82.633	-172.4059
640.000000	82.639	-172.0001
650.000000	82.649	-171.5874
660.000000	82.661	-171.1681
670.000000	82.673	-170.7436
680.000000	82.686	-170.3149
690.000000	82.701	-169.8823
700.000000	82.717	-169.4470
710.000000	82.734	-169.0060
720.000000	82.752	-168.5592
730.000000	82.771	-168.1114
740.000000	82.793	-167.6619
750.000000	82.816	-167.2096
762.000000	82.845	-166.6633
775.000000	82.879	-166.0650
788.000000	82.914	-165.4627
800.000000	82.945	-164.9041
812.000000	82.973	-164.3474
825.000000	83.003	-163.7431
838.000000	83.035	-163.1353
850.000000	83.068	-162.5782
862.000000	83.103	-162.0281
875.000000	83.145	-161.4365
885.000000	83.180	-160.9825
900.000000	83.236	-160.3110
912.000000	83.285	-159.7892
925.000000	83.341	-159.2390
938.000000	83.400	-158.7033
950.000000	83.457	-158.2224
962.000000	83.516	-157.7584
975.000000	83.581	-157.2775
988.000000	83.645	-156.8209
1000.000000	83.697	-156.4207
1015.000000	83.746	-155.9495
1030.000000	83.786	-155.5120
1044.000000	83.821	-155.1332
1060.000000	83.861	-154.7301
1075.000000	83.897	-154.3788
1090.000000	83.933	-154.0458
1106.000000	83.970	-153.7063
1120.000000	84.001	-153.4224
1138.000000	84.040	-153.0665
1150.000000	84.065	-152.8302
1172.000000	84.111	-152.3992
1180.000000	84.128	-152.2447
1206.000000	84.187	-151.7487
1220.000000	84.220	-151.4846
1241.000000	84.278	-151.0992
1250.000000	84.309	-150.9398
1265.000000	84.370	-150.6824
1280.000000	84.439	-150.4339
1315.000000	84.611	-149.8844
1320.000000	84.636	-149.8102
1340.000000	84.737	-149.5249
1360.000000	84.840	-149.2590
1380.000000	84.945	-149.0104
1400.000000	85.052	-148.7850
1430.000000	85.217	-148.5119
1450.000000	85.329	-148.3767
1475.000000	85.468	-148.2658
1500.000000	85.605	-148.2190
1525.000000	85.737	-148.2291
1550.000000	85.864	-148.2914
1575.000000	85.983	-148.3906
1600.000000	86.098	-148.5100
1625.000000	86.209	-148.6336
1650.000000	86.315	-148.7568
1675.000000	86.417	-148.8722
1700.000000	86.515	-148.9737
1725.000000	86.609	-149.0614
1750.000000	86.701	-149.1332
1775.000000	86.792	-149.1884
1800.000000	86.882	-149.2282
1825.000000	86.972	-149.2537
1850.000000	87.063	-149.2657
1875.000000	87.157	-149.2686
1900.000000	87.253	-149.2730
1925.000000	87.353	-149.2882
1950.000000	87.455	-149.3206
1975.000000	87.558	-149.3736
2000.000000	87.662	-149.4471
2030.000000	87.787	-149.5574
2060.000000	87.913	-149.6835
2090.000000	88.039	-149.8221
2120.000000	88.166	-149.9776
2140.000000	88.251	-150.0916
2180.000000	88.424	-150.3532
2200.000000	88.511	-150.5044
2240.000000	88.685	-150.8471
2270.000000	88.816	-151.1382
2300.000000	88.946	-151.4578
2330.000000	89.075	-151.8076
2360.000000	89.205	-152.1872
2400.000000	89.376	-152.7418
2430.000000	89.502	-153.1931
2470.000000	89.668	-153.8405
2500.000000	89.790	-154.3622
2540.000000	89.949	-155.1050
2580.000000	90.104	-155.9025
2620.000000	90.252	-156.7531
2650.000000	90.360	-157.4250
2690.000000	90.498	-158.3673
2720.000000	90.596	-159.1084
2760.000000	90.720	-160.1428
2800.000000	90.835	-161.2279
2850.000000	90.962	-162.6459
2900.000000	91.071	-164.1141
2950.000000	91.160	-165.6109
3000.000000	91.231	-167.1102
3040.000000	91.278	-168.3010
3070.000000	91.310	-169.1902
3110.000000	91.348	-170.3819
3150.000000	91.383	-171.5992
3200.000000	91.423	-173.1691
3250.000000	91.446	-174.7726
3300.000000	91.446	-176.3583
3350.000000	91.427	-177.8855
3400.000000	91.392	-179.3392
3450.000000	91.345	179.2747
3500.000000	91.285	177.9489
3550.000000	91.213	176.6883
3600.000000	91.128	175.5047
3650.000000	91.032	174.4132
3700.000000	90.929	173.4204
3750.000000	90.823	172.5195
3820.000000	90.670	171.3846
3870.000000	90.560	170.6451
3950.000000	90.378	169.5582
4000.000000	90.252	168.9360
4060.000000	90.083	168.2559
4120.000000	89.901	167.6546
4180.000000	89.717	167.1349
4250.000000	89.506	166.6240
4310.000000	89.328	166.2498
4370.000000	89.153	165.9233
4440.000000	88.951	165.6023
4500.000000	88.777	165.3811
4550.000000	88.631	165.2376
4620.000000	88.428	165.1020
4680.000000	88.253	165.0441
4750.000000	88.050	165.0379
4820.000000	87.848	165.0974
4870.000000	87.704	165.1848
4940.000000	87.504	165.3764
5000.000000	87.338	165.6117
5080.000000	87.130	166.0320
5150.000000	86.963	166.4948
5220.000000	86.809	167.0297
5300.000000	86.648	167.7040
5380.000000	86.499	168.4278
5450.000000	86.379	169.0975
5520.000000	86.267	169.8010
5600.000000	86.147	170.6481
5700.000000	86.013	171.7720
5800.000000	85.899	172.9679
5900.000000	85.811	174.2122
6000.000000	85.752	175.4787
6080.000000	85.724	176.4873
6150.000000	85.714	177.3585
6220.000000	85.715	178.2188
6300.000000	85.726	179.1883
6400.000000	85.747	-179.6195
6500.000000	85.785	-178.4532
6600.000000	85.850	-177.3241
6700.000000	85.945	-176.2604
6800.000000	86.076	-175.2947
6900.000000	86.245	-174.4623
7000.000000	86.456	-173.7954
7100.000000	86.709	-173.3294
7200.000000	87.008	-173.1136
7300.000000	87.358	-173.2291
7400.000000	87.761	-173.7960
7500.000000	88.214	-174.9742
7620.000000	88.819	-177.5228
7750.000000	89.489	177.6624
7880.000000	90.001	170.1052
8000.000000	90.125	160.9737
8120.000000	89.772	151.1532
8250.000000	88.854	141.8601
8380.000000	87.552	135.4261
8500.000000	86.212	132.1705
8620.000000	84.888	130.9948
8750.000000	83.559	131.3898
8850.000000	82.630	132.5190
9000.000000	81.390	135.1491
9120.000000	80.519	137.8265
9250.000000	79.681	141.1228
9380.000000	78.939	144.7159
9500.000000	78.333	148.2226
9620.000000	77.798	151.8580
9750.000000	77.295	155.9002
9880.000000	76.869	160.0173
10000.000000	76.540	163.8586
10150.000000	76.210	168.6774
10300.000000	75.964	173.4713
10440.000000	75.809	177.8683
10600.000000	75.719	-177.2814
10750.000000	75.719	-172.9860
10900.000000	75.792	-169.0429
11060.000000	75.924	-165.3606
11200.000000	76.055	-162.6531
11380.000000	76.182	-159.8117
11500.000000	76.207	-158.1005
11720.000000	76.129	-154.3369
11800.000000	76.088	-152.5008
12060.000000	76.175	-144.4697
12200.000000	76.502	-139.3503
12410.000000	77.490	-131.9611
12500.000000	78.108	-129.2720
12650.000000	79.395	-126.0142
12800.000000	80.950	-125.1328
13150.000000	84.395	-139.2102
13200.000000	84.681	-143.3757
13400.000000	84.919	-162.4144
13600.000000	83.777	-178.2779
13800.000000	81.880	173.6919
14000.000000	79.942	171.9644
14300.000000	77.672	175.4583
14500.000000	76.649	179.5087
14750.000000	75.823	-175.1061
15000.000000	75.319	-169.9356
15250.000000	75.063	-164.8488
15500.000000	75.107	-159.9825
15750.000000	75.528	-155.8848
16000.000000	76.425	-153.6011
16250.000000	77.776	-154.9021
16500.000000	79.178	-162.2402
16750.000000	79.934	-176.7345
17000.000000	79.484	165.6126
17250.000000	77.843	151.8613
17500.000000	75.534	145.0919
17750.000000	73.132	143.9182
18000.000000	70.939	146.1573
18250.000000	69.027	150.3785
18500.000000	67.372	155.8358
18750.000000	65.923	162.1544
19000.000000	64.643	169.0943
19250.000000	63.512	176.5674
19500.000000	62.526	-175.6029
19750.000000	61.728	-168.2386
