* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -10.2 dBFS, measurement signal peak level -3.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:48:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0638 ms (22 mm, 0.86 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -259.0 ppm
* Measurement: EQ Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.750000	112.919	-122.9449
17.000000	112.948	-124.3333
17.250000	112.976	-125.6739
17.500000	113.004	-126.9763
17.750000	113.031	-128.2525
18.000000	113.056	-129.5071
18.250000	113.078	-130.7451
18.500000	113.096	-131.9652
18.750000	113.108	-133.1611
19.000000	113.113	-134.3269
19.250000	113.113	-135.4496
19.500000	113.107	-136.5212
19.750000	113.097	-137.5355
20.000000	113.084	-138.4871
20.299999	113.068	-139.5489
20.600000	113.053	-140.5284
20.900000	113.041	-141.4352
21.200001	113.034	-142.2811
21.400000	113.032	-142.8184
21.799999	113.038	-143.8456
22.000000	113.045	-144.3457
22.400000	113.069	-145.3412
22.700001	113.094	-146.1008
23.000000	113.121	-146.8838
23.299999	113.150	-147.6917
23.600000	113.177	-148.5190
24.000000	113.210	-149.6370
24.299999	113.231	-150.4722
24.700001	113.257	-151.5669
25.000000	113.274	-152.3685
25.400000	113.297	-153.4094
25.799999	113.321	-154.4189
26.200001	113.345	-155.3981
26.500000	113.365	-156.1146
26.900000	113.395	-157.0513
27.200001	113.419	-157.7453
27.600000	113.454	-158.6669
28.000000	113.491	-159.5905
28.500000	113.538	-160.7541
29.000000	113.585	-161.9381
29.500000	113.630	-163.1555
30.000000	113.668	-164.4093
30.400000	113.692	-165.4273
30.700001	113.705	-166.1907
31.100000	113.718	-167.2013
31.500000	113.728	-168.2049
32.000000	113.735	-169.4598
32.500000	113.735	-170.7175
33.000000	113.727	-171.9579
33.500000	113.712	-173.1573
34.000000	113.697	-174.3166
34.500000	113.682	-175.4596
35.000000	113.665	-176.5996
35.500000	113.643	-177.7189
36.000000	113.618	-178.7884
36.500000	113.593	-179.8006
37.000000	113.572	179.2245
37.500000	113.552	178.2654
38.200001	113.521	176.9481
38.700001	113.495	176.0435
39.500000	113.448	174.6790
40.000000	113.418	173.8722
40.599998	113.382	172.9373
41.200001	113.347	172.0173
41.799999	113.311	171.0901
42.500000	113.264	169.9905
43.099998	113.219	169.0433
43.700001	113.170	168.1053
44.400002	113.111	167.0362
45.000000	113.063	166.1456
45.500000	113.026	165.4111
46.200001	112.980	164.3694
46.799999	112.942	163.4606
47.500000	112.896	162.4128
48.200001	112.851	161.3998
48.700001	112.821	160.6886
49.400002	112.779	159.6918
50.000000	112.738	158.8374
50.799999	112.676	157.7159
51.500000	112.616	156.7582
52.200001	112.554	155.8159
53.000000	112.481	154.7465
53.799999	112.407	153.6797
54.500000	112.341	152.7456
55.200001	112.273	151.8102
56.000000	112.192	150.7484
57.000000	112.087	149.4286
58.000000	111.974	148.0971
59.000000	111.849	146.8168
60.000000	111.724	145.6035
60.799999	111.628	144.6181
61.500000	111.542	143.7362
62.200001	111.455	142.8516
63.000000	111.356	141.8427
64.000000	111.234	140.5732
65.000000	111.106	139.3043
66.000000	110.967	138.0862
67.000000	110.819	136.9370
68.000000	110.665	135.8250
69.000000	110.501	134.7368
70.000000	110.327	133.6907
71.000000	110.147	132.6900
72.000000	109.966	131.7175
73.000000	109.782	130.7729
74.000000	109.595	129.8696
75.000000	109.408	129.0117
76.199997	109.179	128.0269
77.500000	108.921	127.0210
78.800003	108.652	126.1097
80.000000	108.396	125.3606
81.199997	108.136	124.6920
82.500000	107.850	124.0629
83.800003	107.564	123.5384
85.000000	107.299	123.1411
