* Measurement data measured by REW V5.30
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1
* Format: 256k Log Swept Sine, 1 sweep at -12.7 dBFS with no timing reference
* Dated: 2023. 12. 28 ¿ÀÀü 1:44:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Grey Deep Insertion
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
18.250000	102.677	-130.0390
18.500000	102.717	-130.8275
18.750000	102.755	-131.6008
19.000000	102.792	-132.3610
19.250000	102.828	-133.1100
19.500000	102.862	-133.8485
19.750000	102.895	-134.5765
20.000000	102.926	-135.2929
20.299999	102.961	-136.1356
20.600000	102.995	-136.9581
20.900000	103.027	-137.7605
21.200001	103.057	-138.5448
21.400000	103.077	-139.0592
21.799999	103.116	-140.0716
22.000000	103.135	-140.5707
22.400000	103.170	-141.5552
22.700001	103.194	-142.2796
23.000000	103.216	-142.9896
23.299999	103.236	-143.6836
23.600000	103.255	-144.3613
24.000000	103.280	-145.2422
24.299999	103.298	-145.8887
24.700001	103.320	-146.7367
25.000000	103.336	-147.3639
25.400000	103.355	-148.1884
25.799999	103.371	-148.9969
26.200001	103.384	-149.7853
26.500000	103.393	-150.3619
26.900000	103.404	-151.1112
27.200001	103.412	-151.6600
27.600000	103.422	-152.3780
28.000000	103.431	-153.0847
28.500000	103.442	-153.9559
29.000000	103.450	-154.8124
29.500000	103.455	-155.6474
30.000000	103.457	-156.4550
30.400000	103.459	-157.0811
30.700001	103.460	-157.5408
31.100000	103.461	-158.1439
31.500000	103.462	-158.7388
32.000000	103.463	-159.4721
32.500000	103.463	-160.1907
33.000000	103.461	-160.8905
33.500000	103.459	-161.5724
34.000000	103.456	-162.2418
34.500000	103.453	-162.9030
35.000000	103.447	-163.5536
35.500000	103.440	-164.1871
36.000000	103.431	-164.7988
36.500000	103.423	-165.3915
37.000000	103.414	-165.9720
37.500000	103.406	-166.5457
38.200001	103.394	-167.3379
38.700001	103.383	-167.8924
39.500000	103.365	-168.7580
40.000000	103.353	-169.2865
40.599998	103.337	-169.9058
