* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Treble L, EQ Treble L, EQ Treble L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:42:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Treble L, EQ Treble L, EQ Treble L
* Measurement: EQ Treble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
233.000000	98.565
236.000000	98.481
240.000000	98.370
243.000000	98.289
247.000000	98.189
250.000000	98.119
254.000000	98.025
258.000000	97.930
262.000000	97.835
265.000000	97.764
269.000000	97.668
272.000000	97.594
276.000000	97.493
280.000000	97.392
285.000000	97.267
290.000000	97.146
295.000000	97.029
300.000000	96.916
304.000000	96.826
307.000000	96.758
311.000000	96.669
315.000000	96.581
320.000000	96.476
325.000000	96.376
330.000000	96.280
335.000000	96.187
340.000000	96.094
345.000000	96.002
350.000000	95.912
355.000000	95.820
360.000000	95.727
365.000000	95.639
370.000000	95.553
375.000000	95.467
382.000000	95.348
387.000000	95.267
395.000000	95.142
400.000000	95.065
406.000000	94.971
412.000000	94.880
418.000000	94.797
425.000000	94.700
431.000000	94.618
437.000000	94.540
444.000000	94.455
450.000000	94.385
455.000000	94.328
462.000000	94.251
468.000000	94.189
475.000000	94.120
482.000000	94.055
487.000000	94.013
494.000000	93.957
500.000000	93.914
508.000000	93.861
515.000000	93.821
522.000000	93.784
530.000000	93.744
538.000000	93.711
545.000000	93.687
552.000000	93.666
560.000000	93.644
570.000000	93.621
580.000000	93.604
590.000000	93.593
600.000000	93.586
608.000000	93.582
615.000000	93.581
622.000000	93.583
630.000000	93.589
640.000000	93.605
650.000000	93.625
660.000000	93.648
670.000000	93.674
680.000000	93.701
690.000000	93.727
700.000000	93.753
710.000000	93.779
720.000000	93.803
730.000000	93.828
740.000000	93.858
750.000000	93.893
762.000000	93.937
775.000000	93.982
788.000000	94.021
800.000000	94.057
812.000000	94.094
825.000000	94.135
838.000000	94.177
850.000000	94.218
862.000000	94.264
875.000000	94.316
885.000000	94.358
900.000000	94.425
912.000000	94.488
925.000000	94.565
938.000000	94.645
950.000000	94.713
962.000000	94.778
975.000000	94.851
988.000000	94.931
1000.000000	95.001
1015.000000	95.075
1030.000000	95.143
1044.000000	95.206
1060.000000	95.282
1075.000000	95.356
1090.000000	95.431
1106.000000	95.513
1120.000000	95.585
1138.000000	95.678
1150.000000	95.739
1172.000000	95.849
1180.000000	95.888
1206.000000	96.013
1220.000000	96.079
1241.000000	96.182
1250.000000	96.229
1265.000000	96.314
1280.000000	96.405
1315.000000	96.618
1320.000000	96.647
1340.000000	96.764
1360.000000	96.880
1380.000000	96.993
1400.000000	97.100
1430.000000	97.268
1450.000000	97.389
1475.000000	97.543
1500.000000	97.697
1525.000000	97.855
1550.000000	98.020
1575.000000	98.193
1600.000000	98.378
1625.000000	98.576
1650.000000	98.784
1675.000000	99.002
1700.000000	99.228
1725.000000	99.461
1750.000000	99.700
1775.000000	99.943
1800.000000	100.189
1825.000000	100.435
1850.000000	100.680
1875.000000	100.922
1900.000000	101.157
1925.000000	101.386
1950.000000	101.607
1975.000000	101.820
2000.000000	102.024
2030.000000	102.260
2060.000000	102.491
2090.000000	102.719
2120.000000	102.952
2140.000000	103.108
2180.000000	103.410
2200.000000	103.549
2240.000000	103.797
2270.000000	103.959
2300.000000	104.104
2330.000000	104.235
2360.000000	104.356
2400.000000	104.505
2430.000000	104.608
2470.000000	104.733
2500.000000	104.817
2540.000000	104.917
2580.000000	105.004
2620.000000	105.078
2650.000000	105.126
2690.000000	105.181
2720.000000	105.215
2760.000000	105.250
2800.000000	105.272
2850.000000	105.284
2900.000000	105.282
2950.000000	105.270
3000.000000	105.257
3040.000000	105.250
3070.000000	105.245
3110.000000	105.239
3150.000000	105.232
3200.000000	105.219
3250.000000	105.197
3300.000000	105.168
3350.000000	105.139
3400.000000	105.119
3450.000000	105.116
3500.000000	105.132
3550.000000	105.162
3600.000000	105.194
3650.000000	105.217
3700.000000	105.226
3750.000000	105.224
3820.000000	105.199
3870.000000	105.172
3950.000000	105.121
4000.000000	105.086
4060.000000	105.041
4120.000000	104.993
4180.000000	104.945
4250.000000	104.885
4310.000000	104.834
4370.000000	104.789
4440.000000	104.751
4500.000000	104.738
4550.000000	104.739
4620.000000	104.733
4680.000000	104.725
4750.000000	104.722
4820.000000	104.716
4870.000000	104.713
4940.000000	104.718
5000.000000	104.734
5080.000000	104.773
5150.000000	104.822
5220.000000	104.879
5300.000000	104.947
5380.000000	105.014
5450.000000	105.065
5520.000000	105.107
5600.000000	105.134
5700.000000	105.155
5800.000000	105.208
5900.000000	105.265
6000.000000	105.333
6080.000000	105.393
6150.000000	105.440
6220.000000	105.473
6300.000000	105.487
6400.000000	105.460
6500.000000	105.386
6600.000000	105.272
6700.000000	105.122
6800.000000	104.943
6900.000000	104.742
7000.000000	104.534
7100.000000	104.338
7200.000000	104.177
7300.000000	104.065
7400.000000	104.004
7500.000000	103.994
7620.000000	104.034
7750.000000	104.118
7880.000000	104.210
8000.000000	104.263
8120.000000	104.234
8250.000000	104.065
8380.000000	103.730
8500.000000	103.279
8620.000000	102.713
8750.000000	102.011
8850.000000	101.434
9000.000000	100.544
9120.000000	99.834
9250.000000	99.086
9380.000000	98.378
9500.000000	97.768
9620.000000	97.202
9750.000000	96.633
9880.000000	96.112
10000.000000	95.675
10150.000000	95.188
10300.000000	94.763
10440.000000	94.417
10600.000000	94.079
10750.000000	93.824
10900.000000	93.635
11060.000000	93.520
11200.000000	93.498
11380.000000	93.550
11500.000000	93.608
11720.000000	93.740
11800.000000	93.797
12060.000000	94.022
12200.000000	94.169
12410.000000	94.425
12500.000000	94.550
12650.000000	94.783
12800.000000	95.056
13150.000000	95.938
13200.000000	96.095
13400.000000	96.798
13600.000000	97.651
13800.000000	98.681
14000.000000	99.921
14300.000000	102.350
14500.000000	104.477
14750.000000	107.452
15000.000000	109.624
15250.000000	109.648
15500.000000	107.539
15750.000000	104.569
16000.000000	101.903
16250.000000	99.935
16500.000000	98.545
16750.000000	97.532
17000.000000	96.795
17250.000000	96.273
17500.000000	95.926
17750.000000	95.738
18000.000000	95.707
18250.000000	95.808
18500.000000	95.953
18750.000000	96.043
19000.000000	95.945
19250.000000	95.443
19500.000000	94.370
19750.000000	92.814
