* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, EPOS GSX 300 1. Timing signal peak level -6.7 dBFS, measurement signal peak level -5.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:49:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0739 ms (-25 mm, -1 in) using estimated IR delay relative to Acoustic reference played from refR.wav with no timing offset Clock adjustment: -130.9 ppm
* Measurement: EQ Powerful R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
17.000000	110.829	-121.2679
17.250000	110.846	-122.5561
17.500000	110.867	-123.7974
17.750000	110.890	-125.0109
18.000000	110.915	-126.2045
18.250000	110.940	-127.3863
18.500000	110.962	-128.5563
18.750000	110.981	-129.7078
19.000000	110.994	-130.8342
19.250000	111.002	-131.9205
19.500000	111.005	-132.9585
19.750000	111.004	-133.9415
20.000000	111.000	-134.8654
20.299999	110.995	-135.9013
20.600000	110.990	-136.8660
20.900000	110.986	-137.7709
21.200001	110.982	-138.6258
21.400000	110.979	-139.1702
21.799999	110.973	-140.1964
22.000000	110.970	-140.6776
22.400000	110.967	-141.5749
22.700001	110.968	-142.1972
23.000000	110.975	-142.7884
23.299999	110.988	-143.3657
23.600000	111.008	-143.9458
24.000000	111.041	-144.7464
24.299999	111.070	-145.3782
24.700001	111.109	-146.2630
25.000000	111.138	-146.9513
25.400000	111.176	-147.8896
25.799999	111.214	-148.8435
26.200001	111.253	-149.8176
26.500000	111.283	-150.5689
26.900000	111.321	-151.6031
27.200001	111.346	-152.3973
27.600000	111.372	-153.4597
28.000000	111.391	-154.4930
28.500000	111.410	-155.7091
29.000000	111.430	-156.8530
29.500000	111.456	-157.9738
30.000000	111.480	-159.1074
30.400000	111.493	-160.0162
30.700001	111.498	-160.6862
31.100000	111.501	-161.5493
31.500000	111.500	-162.3738
32.000000	111.499	-163.3609
32.500000	111.498	-164.3228
33.000000	111.495	-165.2808
33.500000	111.490	-166.2451
34.000000	111.480	-167.2166
34.500000	111.466	-168.1879
35.000000	111.447	-169.1497
35.500000	111.425	-170.0975
36.000000	111.402	-171.0339
36.500000	111.377	-171.9621
37.000000	111.351	-172.8790
37.500000	111.324	-173.7775
38.200001	111.285	-174.9950
38.700001	111.258	-175.8348
39.500000	111.215	-177.1258
40.000000	111.189	-177.8974
40.599998	111.160	-178.7878
41.200001	111.131	-179.6455
41.799999	111.102	179.5245
42.500000	111.065	178.5967
43.099998	111.031	177.8477
43.700001	110.997	177.1428
44.400002	110.957	176.3631
45.000000	110.923	175.7236
45.500000	110.896	175.2102
46.200001	110.859	174.5148
46.799999	110.829	173.9312
47.500000	110.794	173.2666
48.200001	110.761	172.6272
48.700001	110.740	172.1798
49.400002	110.711	171.5514
50.000000	110.685	171.0118
50.799999	110.645	170.3073
51.500000	110.610	169.7068
52.200001	110.575	169.1140
53.000000	110.538	168.4426
53.799999	110.504	167.7717
54.500000	110.476	167.1768
55.200001	110.449	166.5732
56.000000	110.419	165.8723
57.000000	110.382	164.9830
58.000000	110.346	164.1066
59.000000	110.314	163.2379
60.000000	110.285	162.3566
60.799999	110.261	161.6688
61.500000	110.244	161.0814
62.200001	110.231	160.4889
63.000000	110.220	159.7970
64.000000	110.213	158.9197
65.000000	110.210	158.0345
66.000000	110.210	157.1388
67.000000	110.213	156.2199
68.000000	110.217	155.2731
69.000000	110.219	154.3033
70.000000	110.221	153.3128
71.000000	110.221	152.2950
72.000000	110.220	151.2390
73.000000	110.216	150.1459
74.000000	110.208	149.0223
75.000000	110.197	147.8804
76.199997	110.181	146.4893
77.500000	110.164	144.9262
78.800003	110.142	143.2786
80.000000	110.111	141.6863
81.199997	110.067	140.0432
82.500000	110.006	138.2324
83.800003	109.934	136.3948
85.000000	109.857	134.6761
86.199997	109.769	132.9250
87.500000	109.655	130.9911
88.500000	109.553	129.4915
90.000000	109.372	127.2529
91.199997	109.206	125.4888
92.500000	109.006	123.6007
93.800003	108.785	121.7459
95.000000	108.562	120.0818
96.199997	108.320	118.4790
97.500000	108.038	116.8362
98.800003	107.736	115.3157
100.000000	107.441	114.0365
101.500000	107.054	112.6262
103.000000	106.651	111.4260
104.400002	106.263	110.4977
106.000000	105.811	109.6660
107.500000	105.384	109.1075
109.000000	104.959	108.7622
110.599998	104.510	108.6329
112.000000	104.127	108.7205
113.800003	103.648	109.0880
115.000000	103.341	109.4775
117.199997	102.805	110.4352
118.000000	102.620	110.8477
120.599998	102.060	112.4264
122.000000	101.791	113.4000
124.099998	101.427	114.9523
125.000000	101.285	115.6512
126.500000	101.066	116.8460
128.000000	100.869	118.0561
131.500000	100.490	120.8398
132.000000	100.445	121.2259
134.000000	100.278	122.7528
136.000000	100.134	124.2504
138.000000	100.007	125.6885
140.000000	99.898	127.0315
143.000000	99.765	128.8834
145.000000	99.694	130.0485
147.500000	99.622	131.4270
150.000000	99.561	132.6817
152.500000	99.505	133.8156
155.000000	99.457	134.8605
157.500000	99.413	135.8311
160.000000	99.369	136.7345
162.500000	99.322	137.5712
165.000000	99.273	138.3528
167.500000	99.223	139.0934
170.000000	99.172	139.7869
172.500000	99.121	140.4314
175.000000	99.073	141.0440
177.500000	99.029	141.6414
180.000000	98.988	142.2083
182.500000	98.945	142.7225
185.000000	98.901	143.1945
187.500000	98.856	143.6348
190.000000	98.810	144.0559
192.500000	98.760	144.4648
195.000000	98.707	144.8605
197.500000	98.652	145.2498
200.000000	98.598	145.6422
203.000000	98.535	146.1279
206.000000	98.473	146.6446
209.000000	98.412	147.1970
212.000000	98.357	147.7695
214.000000	98.324	148.1486
218.000000	98.266	148.8857
220.000000	98.242	149.2358
224.000000	98.201	149.8729
227.000000	98.174	150.2850
230.000000	98.142	150.6465
233.000000	98.105	150.9821
236.000000	98.064	151.3105
240.000000	98.007	151.7452
243.000000	97.964	152.0692
247.000000	97.903	152.4858
250.000000	97.854	152.7803
254.000000	97.783	153.1516
258.000000	97.705	153.5026
262.000000	97.622	153.8288
265.000000	97.559	154.0555
269.000000	97.472	154.3346
272.000000	97.406	154.5268
276.000000	97.320	154.7616
280.000000	97.236	154.9875
285.000000	97.136	155.2920
290.000000	97.035	155.6219
295.000000	96.930	155.9540
300.000000	96.827	156.2819
304.000000	96.745	156.5502
307.000000	96.685	156.7520
311.000000	96.606	157.0251
315.000000	96.530	157.3057
320.000000	96.441	157.6590
325.000000	96.359	158.0129
330.000000	96.279	158.3640
335.000000	96.199	158.7109
340.000000	96.120	159.0653
345.000000	96.041	159.4337
350.000000	95.960	159.8111
355.000000	95.881	160.1877
360.000000	95.802	160.5692
365.000000	95.724	160.9626
370.000000	95.647	161.3692
375.000000	95.572	161.7838
382.000000	95.467	162.3714
387.000000	95.393	162.7958
395.000000	95.279	163.4994
400.000000	95.208	163.9535
406.000000	95.126	164.5032
412.000000	95.046	165.0639
418.000000	94.968	165.6378
425.000000	94.877	166.3215
431.000000	94.804	166.9170
437.000000	94.733	167.5125
444.000000	94.653	168.2170
450.000000	94.587	168.8328
455.000000	94.535	169.3482
462.000000	94.465	170.0714
468.000000	94.410	170.6972
475.000000	94.348	171.4321
482.000000	94.290	172.1630
487.000000	94.250	172.6862
494.000000	94.199	173.4188
500.000000	94.158	174.0474
508.000000	94.110	174.8845
515.000000	94.073	175.6089
522.000000	94.040	176.3259
530.000000	94.007	177.1435
538.000000	93.979	177.9563
545.000000	93.956	178.6564
552.000000	93.937	179.3445
560.000000	93.917	-179.8875
570.000000	93.899	-178.9400
580.000000	93.884	-178.0117
590.000000	93.873	-177.1046
600.000000	93.866	-176.2175
608.000000	93.864	-175.5291
615.000000	93.864	-174.9400
622.000000	93.865	-174.3570
630.000000	93.871	-173.6982
640.000000	93.885	-172.8937
650.000000	93.906	-172.1017
660.000000	93.930	-171.3252
670.000000	93.956	-170.5773
680.000000	93.984	-169.8656
690.000000	94.014	-169.1761
700.000000	94.044	-168.5052
710.000000	94.076	-167.8536
720.000000	94.109	-167.2175
730.000000	94.144	-166.5984
740.000000	94.177	-165.9957
750.000000	94.210	-165.4072
762.000000	94.252	-164.7192
775.000000	94.297	-163.9906
788.000000	94.340	-163.2698
800.000000	94.377	-162.6126
812.000000	94.409	-161.9621
825.000000	94.441	-161.2607
838.000000	94.475	-160.5522
850.000000	94.508	-159.8987
862.000000	94.544	-159.2497
875.000000	94.587	-158.5503
885.000000	94.622	-158.0189
900.000000	94.680	-157.2363
912.000000	94.731	-156.6212
925.000000	94.789	-155.9691
938.000000	94.852	-155.3351
950.000000	94.914	-154.7664
962.000000	94.979	-154.2162
975.000000	95.053	-153.6410
988.000000	95.128	-153.0896
1000.000000	95.191	-152.6085
1015.000000	95.257	-152.0526
1030.000000	95.315	-151.5380
1044.000000	95.370	-151.0904
1060.000000	95.438	-150.6289
1075.000000	95.503	-150.2473
1090.000000	95.569	-149.9116
1106.000000	95.642	-149.5985
1120.000000	95.706	-149.3663
1138.000000	95.789	-149.1231
1150.000000	95.843	-148.9907
1172.000000	95.940	-148.8134
1180.000000	95.974	-148.7675
1206.000000	96.084	-148.6695
1220.000000	96.141	-148.6480
1241.000000	96.228	-148.6496
1250.000000	96.269	-148.6607
1265.000000	96.346	-148.6912
1280.000000	96.428	-148.7338
1315.000000	96.617	-148.8699
1320.000000	96.643	-148.8928
1340.000000	96.747	-148.9886
1360.000000	96.849	-149.0821
1380.000000	96.950	-149.1735
1400.000000	97.051	-149.2618
1430.000000	97.201	-149.3927
1450.000000	97.301	-149.4781
1475.000000	97.430	-149.5816
1500.000000	97.564	-149.6940
1525.000000	97.688	-149.7911
1550.000000	97.810	-149.5957
1575.000000	97.965	-148.9230
1600.000000	98.150	-147.8000
1625.000000	98.334	-146.4635
1650.000000	98.522	-145.1422
1675.000000	98.719	-143.8579
1700.000000	98.924	-142.6252
1725.000000	99.137	-141.4494
1750.000000	99.356	-140.3316
1775.000000	99.580	-139.2772
1800.000000	99.808	-138.2964
1825.000000	100.035	-137.3925
1850.000000	100.262	-136.5433
1875.000000	100.491	-135.7466
1900.000000	100.716	-135.0127
1925.000000	100.933	-134.3489
1950.000000	101.144	-133.7576
1975.000000	101.348	-133.2238
2000.000000	101.546	-132.7363
2030.000000	101.772	-132.2126
2060.000000	101.986	-131.7426
2090.000000	102.186	-131.3174
2120.000000	102.373	-130.9255
2140.000000	102.491	-130.6756
2180.000000	102.709	-130.1868
2200.000000	102.811	-129.9447
2240.000000	102.997	-129.4585
2270.000000	103.124	-129.0806
2300.000000	103.239	-128.6883
2330.000000	103.344	-128.2784
2360.000000	103.438	-127.8414
2400.000000	103.553	-127.1993
2430.000000	103.633	-126.6603
2470.000000	103.737	-125.8703
2500.000000	103.818	-125.2472
2540.000000	103.933	-124.4453
2580.000000	104.049	-123.7611
2620.000000	104.145	-123.2280
2650.000000	104.196	-122.8925
2690.000000	104.235	-122.4461
2720.000000	104.245	-122.0652
2760.000000	104.237	-121.4703
2800.000000	104.210	-120.7807
2850.000000	104.153	-119.7903
2900.000000	104.076	-118.6495
2950.000000	103.981	-117.3581
3000.000000	103.869	-115.9239
3040.000000	103.771	-114.6766
3070.000000	103.691	-113.6846
3110.000000	103.580	-112.2788
3150.000000	103.467	-110.7809
3200.000000	103.326	-108.8026
3250.000000	103.180	-106.7114
3300.000000	103.030	-104.4729
3350.000000	102.872	-102.0920
3400.000000	102.706	-99.5857
3450.000000	102.533	-96.9519
3500.000000	102.354	-94.1856
3550.000000	102.170	-91.2919
3600.000000	101.981	-88.2817
3650.000000	101.784	-85.1621
3700.000000	101.578	-81.9405
3750.000000	101.356	-78.6157
3820.000000	100.998	-73.6881
3870.000000	100.692	-69.7718
3950.000000	100.156	-62.0253
4000.000000	99.904	-56.1053
4060.000000	99.789	-48.6997
4120.000000	99.825	-41.8725
4180.000000	99.896	-35.7551
4250.000000	99.963	-29.0483
4310.000000	100.006	-23.3958
4370.000000	100.046	-17.7623
4440.000000	100.104	-11.1642
4500.000000	100.172	-5.4796
4550.000000	100.243	-0.7480
4620.000000	100.360	5.8227
4680.000000	100.473	11.3814
4750.000000	100.618	17.7941
4820.000000	100.777	24.1421
4870.000000	100.897	28.6197
4940.000000	101.083	34.7276
5000.000000	101.265	39.4446
5080.000000	101.488	44.0086
5150.000000	101.667	46.4283
5220.000000	101.866	48.1962
5300.000000	102.101	49.8897
5380.000000	102.336	51.3593
5450.000000	102.539	52.5196
5520.000000	102.734	53.5590
5600.000000	102.948	54.5990
5700.000000	103.199	55.6736
5800.000000	103.429	56.5000
5900.000000	103.643	57.1492
6000.000000	103.834	57.6096
6080.000000	103.962	57.8211
6150.000000	104.055	57.9276
6220.000000	104.126	57.9826
6300.000000	104.172	57.9966
6400.000000	104.176	58.0183
6500.000000	104.127	58.1347
6600.000000	104.038	58.4186
6700.000000	103.920	58.9578
6800.000000	103.791	59.7897
6900.000000	103.666	60.8672
7000.000000	103.559	62.1706
7100.000000	103.489	63.7297
7200.000000	103.476	65.4918
7300.000000	103.531	67.2916
7400.000000	103.650	68.9189
7500.000000	103.825	70.2049
7620.000000	104.092	71.1499
7750.000000	104.419	71.2509
7880.000000	104.726	70.2220
8000.000000	104.934	68.3095
8120.000000	105.019	65.7317
8250.000000	104.945	62.6616
8380.000000	104.698	59.6968
8500.000000	104.338	57.2754
8620.000000	103.886	55.3625
8750.000000	103.331	53.9511
8850.000000	102.876	53.2778
9000.000000	102.169	52.9265
9120.000000	101.603	53.2622
9250.000000	100.999	54.1160
9380.000000	100.412	55.3180
9500.000000	99.893	56.7038
9620.000000	99.401	58.3487
9750.000000	98.899	60.3761
9880.000000	98.430	62.5786
10000.000000	98.025	64.7177
10150.000000	97.553	67.5157
10300.000000	97.109	70.4376
10440.000000	96.719	73.3148
10600.000000	96.310	76.8451
10750.000000	95.976	80.2940
10900.000000	95.697	83.6441
11060.000000	95.442	86.9080
11200.000000	95.234	89.5408
11380.000000	94.988	92.9732
11500.000000	94.845	95.3686
11720.000000	94.636	99.8249
11800.000000	94.579	101.4737
12060.000000	94.457	106.9164
12200.000000	94.433	109.8190
12410.000000	94.451	114.1260
12500.000000	94.480	116.0078
12650.000000	94.563	119.2372
12800.000000	94.695	122.5307
13150.000000	95.248	130.1581
13200.000000	95.361	131.2237
13400.000000	95.907	135.3459
13600.000000	96.622	139.1099
13800.000000	97.519	142.3380
14000.000000	98.628	144.8252
14300.000000	100.864	146.7135
14500.000000	102.880	145.5972
14750.000000	105.802	137.3914
15000.000000	108.060	115.6017
15250.000000	108.229	83.8648
15500.000000	106.171	59.3124
15750.000000	103.129	48.3242
16000.000000	100.361	45.5408
16250.000000	98.320	46.4467
16500.000000	96.897	48.9561
16750.000000	95.874	52.1475
17000.000000	95.135	55.5564
17250.000000	94.630	58.9973
17500.000000	94.310	62.2472
17750.000000	94.147	65.0531
18000.000000	94.130	67.1467
18250.000000	94.235	68.1548
18500.000000	94.405	67.5460
18750.000000	94.543	64.8454
19000.000000	94.508	59.7946
19250.000000	94.116	52.4981
19500.000000	93.217	44.0514
19750.000000	91.873	36.5707
