* Measurement data measured by REW V5.20.13
* Source: 마이크(EPOS GSX 30, MICROPHONE (마스), L, volume: 0.800. Timing signal peak level -12.4 dBFS, measurement signal peak level -11.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 9. 20 오전 12:24:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0179 ms (-6.1 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
17.000000	103.700	-114.2346
17.250000	103.769	-115.2901
17.500000	103.836	-116.3403
17.750000	103.901	-117.3857
18.000000	103.961	-118.4227
18.250000	104.018	-119.4472
18.500000	104.070	-120.4507
18.750000	104.120	-121.4305
19.000000	104.166	-122.3838
19.250000	104.211	-123.3124
19.500000	104.255	-124.2201
19.750000	104.299	-125.1106
20.000000	104.341	-125.9892
20.299999	104.391	-127.0309
20.600000	104.438	-128.0603
20.900000	104.482	-129.0762
21.200001	104.523	-130.0756
21.400000	104.548	-130.7311
21.799999	104.595	-132.0141
22.000000	104.618	-132.6408
22.400000	104.659	-133.8646
22.700001	104.688	-134.7578
23.000000	104.716	-135.6321
23.299999	104.743	-136.4907
23.600000	104.769	-137.3367
24.000000	104.802	-138.4487
24.299999	104.825	-139.2713
24.700001	104.851	-140.3497
25.000000	104.868	-141.1408
25.400000	104.888	-142.1678
25.799999	104.906	-143.1628
26.200001	104.923	-144.1304
26.500000	104.935	-144.8420
26.900000	104.950	-145.7747
27.200001	104.960	-146.4621
27.600000	104.973	-147.3622
28.000000	104.984	-148.2450
28.500000	104.998	-149.3320
29.000000	105.009	-150.4094
29.500000	105.015	-151.4743
30.000000	105.016	-152.5111
30.400000	105.015	-153.3105
30.700001	105.013	-153.8916
31.100000	105.010	-154.6453
31.500000	105.009	-155.3814
32.000000	105.008	-156.2869
32.500000	105.006	-157.1832
33.000000	105.003	-158.0697
33.500000	104.996	-158.9390
34.000000	104.987	-159.7807
34.500000	104.976	-160.5908
35.000000	104.966	-161.3754
35.500000	104.957	-162.1468
36.000000	104.947	-162.9130
36.500000	104.935	-163.6735
37.000000	104.920	-164.4218
37.500000	104.903	-165.1505
38.200001	104.877	-166.1281
38.700001	104.859	-166.7975
39.500000	104.832	-167.8409
40.000000	104.815	-168.4879
40.599998	104.795	-169.2594
41.200001	104.773	-170.0173
41.799999	104.748	-170.7542
42.500000	104.716	-171.5824
43.099998	104.686	-172.2623
43.700001	104.654	-172.9097
44.400002	104.616	-173.6159
45.000000	104.585	-174.1779
45.500000	104.563	-174.6254
46.200001	104.535	-175.2411
46.799999	104.515	-175.7709
47.500000	104.493	-176.3933
48.200001	104.472	-177.0185
48.700001	104.458	-177.4673
49.400002	104.439	-178.1078
50.000000	104.419	-178.6777
50.799999	104.381	-179.4469
51.500000	104.339	179.9249
52.200001	104.298	179.3510
53.000000	104.258	178.6949
53.799999	104.216	177.9983
54.500000	104.170	177.3961
55.200001	104.122	176.8294
56.000000	104.066	176.2047
57.000000	103.993	175.4551
58.000000	103.924	174.7751
59.000000	103.864	174.0850
60.000000	103.800	173.3695
60.799999	103.747	172.8223
61.500000	103.702	172.3573
62.200001	103.656	171.9028
63.000000	103.606	171.4000
64.000000	103.548	170.7868
65.000000	103.492	170.1933
66.000000	103.438	169.6184
67.000000	103.383	169.0512
68.000000	103.327	168.4929
69.000000	103.265	167.9780
70.000000	103.207	167.5266
71.000000	103.154	167.0802
72.000000	103.100	166.6187
73.000000	103.044	166.1636
74.000000	102.987	165.7117
75.000000	102.929	165.2634
76.199997	102.859	164.7474
77.500000	102.786	164.2115
78.800003	102.714	163.7028
80.000000	102.648	163.2613
81.199997	102.580	162.8411
82.500000	102.505	162.3995
83.800003	102.427	161.9584
85.000000	102.354	161.5690
86.199997	102.281	161.1977
87.500000	102.207	160.8167
88.500000	102.153	160.5160
90.000000	102.072	160.0546
91.199997	102.004	159.7039
92.500000	101.931	159.3416
93.800003	101.856	158.9859
95.000000	101.784	158.6747
96.199997	101.712	158.3951
97.500000	101.637	158.1077
98.800003	101.563	157.8243
100.000000	101.496	157.5645
101.500000	101.412	157.2505
103.000000	101.329	156.9633
104.400002	101.253	156.7096
106.000000	101.166	156.4460
107.500000	101.083	156.2320
109.000000	101.001	156.0458
110.599998	100.920	155.8677
112.000000	100.853	155.6896
113.800003	100.770	155.4470
115.000000	100.718	155.2801
117.199997	100.624	154.9323
118.000000	100.588	154.7986
120.599998	100.462	154.3928
122.000000	100.392	154.1960
124.099998	100.291	153.9132
125.000000	100.250	153.7954
126.500000	100.184	153.6124
128.000000	100.123	153.4563
131.500000	99.985	153.1341
132.000000	99.965	153.0919
134.000000	99.883	152.9284
136.000000	99.801	152.7816
138.000000	99.721	152.6683
140.000000	99.645	152.5708
143.000000	99.529	152.4778
145.000000	99.456	152.4539
147.500000	99.373	152.4533
150.000000	99.304	152.4528
152.500000	99.238	152.4199
155.000000	99.170	152.3646
157.500000	99.101	152.2934
160.000000	99.030	152.2092
162.500000	98.955	152.1289
165.000000	98.877	152.0441
167.500000	98.794	151.9341
170.000000	98.705	151.8242
172.500000	98.616	151.7438
175.000000	98.527	151.6871
177.500000	98.438	151.6390
180.000000	98.349	151.6044
182.500000	98.262	151.5800
185.000000	98.176	151.5673
187.500000	98.092	151.5784
190.000000	98.009	151.6084
192.500000	97.925	151.6555
195.000000	97.843	151.7127
197.500000	97.766	151.7598
200.000000	97.693	151.8056
203.000000	97.606	151.8828
206.000000	97.523	151.9768
209.000000	97.443	152.0696
212.000000	97.366	152.1771
214.000000	97.316	152.2551
218.000000	97.221	152.3960
220.000000	97.174	152.4558
224.000000	97.078	152.5806
227.000000	97.004	152.6987
230.000000	96.933	152.8290
233.000000	96.862	152.9644
236.000000	96.793	153.1111
240.000000	96.704	153.3273
243.000000	96.639	153.5009
247.000000	96.556	153.7289
250.000000	96.494	153.8964
254.000000	96.410	154.1183
258.000000	96.323	154.3414
262.000000	96.237	154.5784
265.000000	96.175	154.7657
269.000000	96.094	155.0240
272.000000	96.036	155.2203
276.000000	95.964	155.4721
280.000000	95.893	155.7097
285.000000	95.806	155.9899
290.000000	95.719	156.2599
295.000000	95.632	156.5318
300.000000	95.543	156.8155
304.000000	95.473	157.0574
307.000000	95.421	157.2509
311.000000	95.354	157.5237
315.000000	95.291	157.8064
320.000000	95.222	158.1807
325.000000	95.163	158.5823
330.000000	95.112	158.9872
335.000000	95.069	159.3818
340.000000	95.033	159.7426
345.000000	94.998	160.0604
350.000000	94.962	160.3455
355.000000	94.925	160.6174
360.000000	94.886	160.8861
365.000000	94.846	161.1481
370.000000	94.805	161.4099
375.000000	94.764	161.6766
382.000000	94.708	162.0583
387.000000	94.668	162.3333
395.000000	94.603	162.7733
400.000000	94.563	163.0485
406.000000	94.516	163.3847
412.000000	94.470	163.7347
418.000000	94.424	164.1018
425.000000	94.372	164.5213
431.000000	94.329	164.8767
437.000000	94.286	165.2441
444.000000	94.239	165.6947
450.000000	94.201	166.0891
455.000000	94.171	166.4131
462.000000	94.131	166.8647
468.000000	94.097	167.2540
475.000000	94.058	167.7032
482.000000	94.023	168.1479
487.000000	93.999	168.4657
494.000000	93.968	168.9176
500.000000	93.943	169.3102
508.000000	93.912	169.8357
515.000000	93.888	170.2906
522.000000	93.867	170.7479
530.000000	93.843	171.2734
538.000000	93.822	171.7917
545.000000	93.805	172.2412
552.000000	93.789	172.6954
560.000000	93.772	173.2170
570.000000	93.754	173.8669
580.000000	93.738	174.5230
590.000000	93.725	175.1707
600.000000	93.714	175.8142
608.000000	93.707	176.3371
615.000000	93.701	176.7945
622.000000	93.698	177.2471
630.000000	93.698	177.7634
640.000000	93.705	178.4111
650.000000	93.716	179.0610
660.000000	93.731	179.7068
670.000000	93.748	-179.6538
680.000000	93.766	-179.0111
690.000000	93.787	-178.3642
700.000000	93.810	-177.7146
710.000000	93.835	-177.0664
720.000000	93.863	-176.4178
730.000000	93.892	-175.7663
740.000000	93.922	-175.1193
750.000000	93.956	-174.4774
762.000000	93.999	-173.7055
775.000000	94.049	-172.8707
788.000000	94.102	-172.0450
800.000000	94.152	-171.2826
812.000000	94.199	-170.5207
825.000000	94.249	-169.7027
838.000000	94.303	-168.8875
850.000000	94.356	-168.1355
862.000000	94.414	-167.3871
875.000000	94.482	-166.5836
885.000000	94.537	-165.9712
900.000000	94.626	-165.0601
912.000000	94.702	-164.3422
925.000000	94.791	-163.5756
938.000000	94.886	-162.8201
950.000000	94.980	-162.1387
962.000000	95.080	-161.4787
975.000000	95.194	-160.7935
988.000000	95.313	-160.1496
1000.000000	95.418	-159.6005
1015.000000	95.537	-158.9884
1030.000000	95.648	-158.4534
1044.000000	95.751	-158.0150
1060.000000	95.871	-157.5786
1075.000000	95.983	-157.2258
1090.000000	96.094	-156.9192
1106.000000	96.210	-156.6390
1120.000000	96.312	-156.4348
1138.000000	96.442	-156.2229
1150.000000	96.528	-156.1098
1172.000000	96.685	-155.9616
1180.000000	96.742	-155.9267
1206.000000	96.922	-155.8730
1220.000000	97.019	-155.8795
1241.000000	97.167	-155.9355
1250.000000	97.235	-155.9775
1265.000000	97.357	-156.0686
1280.000000	97.484	-156.1820
1315.000000	97.781	-156.5347
1320.000000	97.822	-156.5951
1340.000000	97.987	-156.8610
1360.000000	98.148	-157.1633
1380.000000	98.307	-157.5008
1400.000000	98.462	-157.8757
1430.000000	98.690	-158.5049
1450.000000	98.838	-158.9675
1475.000000	99.019	-159.5929
1500.000000	99.194	-160.2700
1525.000000	99.363	-161.0003
1550.000000	99.526	-161.7815
1575.000000	99.683	-162.6129
1600.000000	99.835	-163.4922
1625.000000	99.983	-164.4151
1650.000000	100.125	-165.3795
1675.000000	100.258	-166.3802
1700.000000	100.381	-167.4144
1725.000000	100.495	-168.4785
1750.000000	100.598	-169.5664
1775.000000	100.690	-170.6724
1800.000000	100.771	-171.7906
1825.000000	100.841	-172.9176
1850.000000	100.900	-174.0481
1875.000000	100.948	-175.1725
1900.000000	100.986	-176.2865
1925.000000	101.013	-177.3860
1950.000000	101.030	-178.4626
1975.000000	101.038	-179.5108
2000.000000	101.038	179.4716
2030.000000	101.028	178.2936
2060.000000	101.009	177.1704
2090.000000	100.980	176.1086
2120.000000	100.943	175.1127
2140.000000	100.914	174.4869
2180.000000	100.848	173.3258
2200.000000	100.811	172.7916
2240.000000	100.735	171.8154
2270.000000	100.675	171.1622
2300.000000	100.613	170.5770
2330.000000	100.552	170.0577
2360.000000	100.491	169.6015
2400.000000	100.411	169.0843
2430.000000	100.354	168.7615
2470.000000	100.282	168.4143
2500.000000	100.232	168.2117
2540.000000	100.171	168.0120
2580.000000	100.117	167.8853
2620.000000	100.072	167.8203
2650.000000	100.044	167.8075
2690.000000	100.014	167.8347
2720.000000	99.998	167.8846
2760.000000	99.985	167.9844
2800.000000	99.983	168.1138
2850.000000	99.994	168.3068
2900.000000	100.022	168.5191
2950.000000	100.066	168.7366
3000.000000	100.128	168.9505
3040.000000	100.190	169.1126
3070.000000	100.244	169.2254
3110.000000	100.327	169.3613
3150.000000	100.428	169.4781
3200.000000	100.581	169.5866
3250.000000	100.766	169.6303
3300.000000	100.981	169.5573
3350.000000	101.224	169.2903
3400.000000	101.487	168.7647
3450.000000	101.760	167.9470
3500.000000	102.032	166.8329
3550.000000	102.297	165.4249
3600.000000	102.549	163.7205
3650.000000	102.780	161.7149
3700.000000	102.982	159.4036
3750.000000	103.145	156.7912
3820.000000	103.285	152.6835
3870.000000	103.307	149.5043
3950.000000	103.181	144.2366
4000.000000	102.988	141.0048
4060.000000	102.635	137.3908
4120.000000	102.168	134.2547
4180.000000	101.613	131.7697
4250.000000	100.887	129.8743
4310.000000	100.232	129.2120
4370.000000	99.582	129.4773
4440.000000	98.877	130.9395
4500.000000	98.367	133.0941
4550.000000	98.041	135.3966
4620.000000	97.787	139.0255
4680.000000	97.779	142.0047
4750.000000	97.984	144.5621
4820.000000	98.301	145.5004
4870.000000	98.510	145.0883
4940.000000	98.676	143.3354
5000.000000	98.659	141.2835
5080.000000	98.411	138.6693
5150.000000	98.033	137.0917
5220.000000	97.576	136.4736
5300.000000	97.058	136.9511
5380.000000	96.645	138.1454
5450.000000	96.359	139.1468
5520.000000	96.072	140.0493
5600.000000	95.714	141.3354
5700.000000	95.275	143.5967
5800.000000	94.895	146.4557
5900.000000	94.594	149.7090
6000.000000	94.377	153.2235
6080.000000	94.263	156.1607
6150.000000	94.208	158.7875
6220.000000	94.192	161.4426
6300.000000	94.217	164.4822
6400.000000	94.308	168.2299
6500.000000	94.468	171.8476
6600.000000	94.697	175.2747
6700.000000	94.992	178.4591
6800.000000	95.347	-178.6308
6900.000000	95.760	-176.0023
7000.000000	96.232	-173.6646
7100.000000	96.770	-171.6314
7200.000000	97.380	-169.9480
7300.000000	98.072	-168.7122
7400.000000	98.857	-168.0813
7500.000000	99.739	-168.2935
7620.000000	100.919	-170.1638
7750.000000	102.261	-175.1289
7880.000000	103.433	175.7547
8000.000000	104.043	163.6393
8120.000000	103.956	149.9028
8250.000000	103.066	136.7098
8380.000000	101.621	127.6500
8500.000000	100.106	123.0015
8620.000000	98.625	121.0270
8750.000000	97.162	120.9025
8850.000000	96.151	121.7582
9000.000000	94.806	124.0938
9120.000000	93.858	126.6281
9250.000000	92.941	129.8732
9380.000000	92.125	133.5253
9500.000000	91.456	137.1830
9620.000000	90.865	141.0543
9750.000000	90.312	145.4316
9880.000000	89.848	149.9424
10000.000000	89.498	154.1763
10150.000000	89.159	159.4930
10300.000000	88.921	164.7640
10440.000000	88.785	169.5739
10600.000000	88.732	174.8453
10750.000000	88.781	179.4643
10900.000000	88.915	-176.3464
11060.000000	89.129	-172.4866
11200.000000	89.351	-169.7148
11380.000000	89.639	-167.0427
11500.000000	89.810	-165.7636
11720.000000	90.059	-164.1296
11800.000000	90.131	-163.7239
12060.000000	90.238	-163.0920
12200.000000	90.185	-162.8897
12410.000000	89.980	-162.1519
12500.000000	89.866	-161.5834
12650.000000	89.667	-160.2471
12800.000000	89.485	-158.4358
13150.000000	89.277	-152.8718
13200.000000	89.284	-151.9984
13400.000000	89.431	-148.5710
13600.000000	89.796	-145.6569
13800.000000	90.377	-143.9501
14000.000000	91.105	-144.3878
14300.000000	92.058	-150.9482
14500.000000	92.226	-159.0540
14750.000000	91.595	-170.2171
15000.000000	90.101	-178.0024
15250.000000	88.191	179.6263
15500.000000	86.349	-178.3683
15750.000000	84.841	-173.7753
16000.000000	83.781	-168.1278
16250.000000	83.212	-162.7249
16500.000000	82.995	-158.7254
16750.000000	82.869	-157.0112
17000.000000	82.538	-157.5047
17250.000000	81.782	-158.5511
17500.000000	80.588	-157.6819
17750.000000	79.152	-153.2284
18000.000000	77.783	-144.9310
18250.000000	76.826	-133.5439
18500.000000	76.664	-120.2645
18750.000000	77.723	-107.8947
19000.000000	79.463	-102.9614
19250.000000	80.468	-108.2519
19500.000000	80.239	-115.8513
19750.000000	79.495	-119.8840
