* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of R, R, R
* Dated: 2023. 10. 26 ¿ÀÈÄ 9:44:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of R, R, R
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
250.000000	98.567
254.000000	98.463
258.000000	98.360
262.000000	98.258
265.000000	98.183
269.000000	98.085
272.000000	98.011
276.000000	97.911
280.000000	97.809
285.000000	97.682
290.000000	97.558
295.000000	97.435
300.000000	97.314
304.000000	97.220
307.000000	97.150
311.000000	97.059
315.000000	96.973
320.000000	96.872
325.000000	96.775
330.000000	96.681
335.000000	96.587
340.000000	96.494
345.000000	96.403
350.000000	96.311
355.000000	96.221
360.000000	96.132
365.000000	96.045
370.000000	95.959
375.000000	95.874
382.000000	95.756
387.000000	95.675
395.000000	95.548
400.000000	95.470
406.000000	95.378
412.000000	95.287
418.000000	95.199
425.000000	95.101
431.000000	95.022
437.000000	94.947
444.000000	94.862
450.000000	94.792
455.000000	94.734
462.000000	94.657
468.000000	94.595
475.000000	94.526
482.000000	94.462
487.000000	94.419
494.000000	94.362
500.000000	94.317
508.000000	94.265
515.000000	94.224
522.000000	94.186
530.000000	94.148
538.000000	94.114
545.000000	94.089
552.000000	94.066
560.000000	94.043
570.000000	94.020
580.000000	94.002
590.000000	93.988
600.000000	93.978
608.000000	93.973
615.000000	93.971
622.000000	93.971
630.000000	93.976
640.000000	93.989
650.000000	94.009
660.000000	94.030
670.000000	94.052
680.000000	94.077
690.000000	94.107
700.000000	94.141
710.000000	94.175
720.000000	94.209
730.000000	94.241
740.000000	94.274
750.000000	94.308
762.000000	94.348
775.000000	94.391
788.000000	94.437
800.000000	94.484
812.000000	94.526
825.000000	94.561
838.000000	94.588
850.000000	94.615
862.000000	94.651
875.000000	94.698
885.000000	94.736
900.000000	94.798
912.000000	94.851
925.000000	94.913
938.000000	94.980
950.000000	95.045
962.000000	95.113
975.000000	95.191
988.000000	95.269
1000.000000	95.336
1015.000000	95.405
1030.000000	95.468
1044.000000	95.528
1060.000000	95.600
1075.000000	95.670
1090.000000	95.741
1106.000000	95.819
1120.000000	95.888
1138.000000	95.977
1150.000000	96.036
1172.000000	96.142
1180.000000	96.179
1206.000000	96.299
1220.000000	96.362
1241.000000	96.459
1250.000000	96.505
1265.000000	96.588
1280.000000	96.676
1315.000000	96.882
1320.000000	96.911
1340.000000	97.028
1360.000000	97.144
1380.000000	97.253
1400.000000	97.359
1430.000000	97.522
1450.000000	97.634
1475.000000	97.778
1500.000000	97.926
1525.000000	98.079
1550.000000	98.239
1575.000000	98.408
1600.000000	98.587
1625.000000	98.780
1650.000000	98.984
1675.000000	99.198
1700.000000	99.420
1725.000000	99.650
1750.000000	99.886
1775.000000	100.128
1800.000000	100.374
1825.000000	100.623
1850.000000	100.870
1875.000000	101.116
1900.000000	101.359
1925.000000	101.598
1950.000000	101.830
1975.000000	102.056
2000.000000	102.274
2030.000000	102.527
2060.000000	102.767
2090.000000	102.995
2120.000000	103.210
2140.000000	103.346
2180.000000	103.610
2200.000000	103.735
2240.000000	103.960
2270.000000	104.114
2300.000000	104.263
2330.000000	104.405
2360.000000	104.540
2400.000000	104.716
2430.000000	104.848
2470.000000	105.031
2500.000000	105.174
2540.000000	105.365
2580.000000	105.540
2620.000000	105.686
2650.000000	105.776
2690.000000	105.874
2720.000000	105.933
2760.000000	105.996
2800.000000	106.044
2850.000000	106.087
2900.000000	106.116
2950.000000	106.132
3000.000000	106.138
3040.000000	106.135
3070.000000	106.130
3110.000000	106.121
3150.000000	106.112
3200.000000	106.106
3250.000000	106.099
3300.000000	106.088
3350.000000	106.073
3400.000000	106.056
3450.000000	106.035
3500.000000	106.011
3550.000000	105.983
3600.000000	105.950
3650.000000	105.909
3700.000000	105.853
3750.000000	105.772
3820.000000	105.591
3870.000000	105.403
3950.000000	105.108
4000.000000	105.058
4060.000000	105.164
4120.000000	105.335
4180.000000	105.484
4250.000000	105.606
4310.000000	105.678
4370.000000	105.733
4440.000000	105.787
4500.000000	105.825
4550.000000	105.851
4620.000000	105.882
4680.000000	105.906
4750.000000	105.932
4820.000000	105.955
4870.000000	105.964
4940.000000	105.979
5000.000000	106.023
5080.000000	106.101
5150.000000	106.160
5220.000000	106.220
5300.000000	106.293
5380.000000	106.363
5450.000000	106.421
5520.000000	106.477
5600.000000	106.538
5700.000000	106.610
5800.000000	106.675
5900.000000	106.725
6000.000000	106.753
6080.000000	106.752
6150.000000	106.730
6220.000000	106.685
6300.000000	106.602
6400.000000	106.444
6500.000000	106.233
6600.000000	105.983
6700.000000	105.702
6800.000000	105.404
6900.000000	105.104
7000.000000	104.818
7100.000000	104.564
7200.000000	104.361
7300.000000	104.221
7400.000000	104.143
7500.000000	104.117
7620.000000	104.138
7750.000000	104.187
7880.000000	104.206
8000.000000	104.143
8120.000000	103.959
8250.000000	103.597
8380.000000	103.064
8500.000000	102.442
8620.000000	101.721
8750.000000	100.865
8850.000000	100.177
9000.000000	99.125
9120.000000	98.283
9250.000000	97.389
9380.000000	96.527
9500.000000	95.764
9620.000000	95.037
9750.000000	94.294
9880.000000	93.597
10000.000000	92.993
10150.000000	92.288
10300.000000	91.633
10440.000000	91.064
10600.000000	90.472
10750.000000	89.993
10900.000000	89.589
11060.000000	89.214
11200.000000	88.911
11380.000000	88.558
11500.000000	88.356
11720.000000	88.066
11800.000000	87.983
12060.000000	87.793
12200.000000	87.739
12410.000000	87.719
12500.000000	87.734
12650.000000	87.798
12800.000000	87.918
13150.000000	88.461
13200.000000	88.572
13400.000000	89.119
13600.000000	89.847
13800.000000	90.749
14000.000000	91.858
14300.000000	94.084
14500.000000	96.089
14750.000000	99.029
15000.000000	101.377
15250.000000	101.680
15500.000000	99.729
15750.000000	96.735
16000.000000	93.991
16250.000000	91.939
16500.000000	90.503
16750.000000	89.483
17000.000000	88.753
17250.000000	88.254
17500.000000	87.941
17750.000000	87.788
18000.000000	87.782
18250.000000	87.899
18500.000000	88.079
18750.000000	88.228
19000.000000	88.214
19250.000000	87.866
19500.000000	87.026
19750.000000	85.742
