* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Custom Flat L, EQ Custom Flat L, EQ Custom Flat L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:45:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Custom Flat L, EQ Custom Flat L, EQ Custom Flat L
* Measurement: EQ Custom Flat L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
227.000000	101.007
230.000000	100.905
233.000000	100.800
236.000000	100.697
240.000000	100.562
243.000000	100.464
247.000000	100.338
250.000000	100.246
254.000000	100.123
258.000000	99.998
262.000000	99.870
265.000000	99.773
269.000000	99.644
272.000000	99.547
276.000000	99.419
280.000000	99.291
285.000000	99.133
290.000000	98.975
295.000000	98.819
300.000000	98.663
304.000000	98.537
307.000000	98.444
311.000000	98.323
315.000000	98.206
320.000000	98.064
325.000000	97.927
330.000000	97.793
335.000000	97.660
340.000000	97.527
345.000000	97.397
350.000000	97.269
355.000000	97.141
360.000000	97.015
365.000000	96.889
370.000000	96.764
375.000000	96.640
382.000000	96.469
387.000000	96.351
395.000000	96.166
400.000000	96.050
406.000000	95.911
412.000000	95.775
418.000000	95.641
425.000000	95.489
431.000000	95.360
437.000000	95.233
444.000000	95.090
450.000000	94.971
455.000000	94.872
462.000000	94.737
468.000000	94.624
475.000000	94.493
482.000000	94.365
487.000000	94.276
494.000000	94.155
500.000000	94.054
508.000000	93.922
515.000000	93.811
522.000000	93.702
530.000000	93.583
538.000000	93.470
545.000000	93.377
552.000000	93.285
560.000000	93.181
570.000000	93.052
580.000000	92.928
590.000000	92.808
600.000000	92.692
608.000000	92.600
615.000000	92.522
622.000000	92.447
630.000000	92.366
640.000000	92.273
650.000000	92.185
660.000000	92.097
670.000000	92.013
680.000000	91.932
690.000000	91.850
700.000000	91.768
710.000000	91.689
720.000000	91.614
730.000000	91.544
740.000000	91.473
750.000000	91.400
762.000000	91.319
775.000000	91.239
788.000000	91.164
800.000000	91.092
812.000000	91.015
825.000000	90.934
838.000000	90.865
850.000000	90.811
862.000000	90.761
875.000000	90.708
885.000000	90.669
900.000000	90.621
912.000000	90.588
925.000000	90.559
938.000000	90.538
950.000000	90.524
962.000000	90.515
975.000000	90.510
988.000000	90.509
1000.000000	90.502
1015.000000	90.481
1030.000000	90.458
1044.000000	90.442
1060.000000	90.430
1075.000000	90.423
1090.000000	90.417
1106.000000	90.414
1120.000000	90.416
1138.000000	90.421
1150.000000	90.425
1172.000000	90.435
1180.000000	90.438
1206.000000	90.452
1220.000000	90.460
1241.000000	90.477
1250.000000	90.488
1265.000000	90.516
1280.000000	90.550
1315.000000	90.639
1320.000000	90.652
1340.000000	90.701
1360.000000	90.753
1380.000000	90.805
1400.000000	90.859
1430.000000	90.945
1450.000000	91.006
1475.000000	91.088
1500.000000	91.176
1525.000000	91.268
1550.000000	91.370
1575.000000	91.491
1600.000000	91.628
1625.000000	91.777
1650.000000	91.938
1675.000000	92.113
1700.000000	92.301
1725.000000	92.491
1750.000000	92.682
1775.000000	92.881
1800.000000	93.088
1825.000000	93.297
1850.000000	93.507
1875.000000	93.714
1900.000000	93.918
1925.000000	94.115
1950.000000	94.306
1975.000000	94.490
2000.000000	94.666
2030.000000	94.871
2060.000000	95.071
2090.000000	95.271
2120.000000	95.475
2140.000000	95.614
2180.000000	95.883
2200.000000	96.008
2240.000000	96.228
2270.000000	96.370
2300.000000	96.496
2330.000000	96.609
2360.000000	96.713
2400.000000	96.839
2430.000000	96.926
2470.000000	97.031
2500.000000	97.103
2540.000000	97.187
2580.000000	97.260
2620.000000	97.323
2650.000000	97.368
2690.000000	97.413
2720.000000	97.434
2760.000000	97.453
2800.000000	97.467
2850.000000	97.471
2900.000000	97.462
2950.000000	97.444
3000.000000	97.428
3040.000000	97.419
3070.000000	97.414
3110.000000	97.408
3150.000000	97.401
3200.000000	97.391
3250.000000	97.372
3300.000000	97.349
3350.000000	97.327
3400.000000	97.314
3450.000000	97.317
3500.000000	97.342
3550.000000	97.383
3600.000000	97.428
3650.000000	97.467
3700.000000	97.492
3750.000000	97.505
3820.000000	97.507
3870.000000	97.500
3950.000000	97.481
4000.000000	97.470
4060.000000	97.455
4120.000000	97.439
4180.000000	97.422
4250.000000	97.404
4310.000000	97.392
4370.000000	97.385
4440.000000	97.394
4500.000000	97.424
4550.000000	97.461
4620.000000	97.518
4680.000000	97.567
4750.000000	97.624
4820.000000	97.684
4870.000000	97.731
4940.000000	97.816
5000.000000	97.903
5080.000000	98.031
5150.000000	98.161
5220.000000	98.308
5300.000000	98.486
5380.000000	98.669
5450.000000	98.830
5520.000000	98.987
5600.000000	99.161
5700.000000	99.377
5800.000000	99.603
5900.000000	99.855
6000.000000	100.138
6080.000000	100.380
6150.000000	100.591
6220.000000	100.793
6300.000000	101.004
6400.000000	101.228
6500.000000	101.406
6600.000000	101.543
6700.000000	101.636
6800.000000	101.685
6900.000000	101.690
7000.000000	101.658
7100.000000	101.600
7200.000000	101.531
7300.000000	101.459
7400.000000	101.383
7500.000000	101.301
7620.000000	101.189
7750.000000	101.033
7880.000000	100.825
8000.000000	100.560
8120.000000	100.190
8250.000000	99.637
8380.000000	98.908
8500.000000	98.087
8620.000000	97.152
8750.000000	96.050
8850.000000	95.166
9000.000000	93.822
9120.000000	92.753
9250.000000	91.625
9380.000000	90.543
9500.000000	89.592
9620.000000	88.691
9750.000000	87.769
9880.000000	86.900
10000.000000	86.145
10150.000000	85.261
10300.000000	84.439
10440.000000	83.739
10600.000000	83.015
10750.000000	82.400
10900.000000	81.855
11060.000000	81.368
11200.000000	81.029
11380.000000	80.684
11500.000000	80.486
11720.000000	80.165
11800.000000	80.063
12060.000000	79.796
12200.000000	79.693
12410.000000	79.594
12500.000000	79.575
12650.000000	79.577
12800.000000	79.631
13150.000000	80.056
13200.000000	80.153
13400.000000	80.636
13600.000000	81.289
13800.000000	82.139
14000.000000	83.222
14300.000000	85.448
14500.000000	87.461
14750.000000	90.328
15000.000000	92.441
15250.000000	92.445
15500.000000	90.311
15750.000000	87.299
16000.000000	84.583
16250.000000	82.577
16500.000000	81.179
16750.000000	80.166
17000.000000	79.432
17250.000000	78.919
17500.000000	78.585
17750.000000	78.414
18000.000000	78.397
18250.000000	78.503
18500.000000	78.668
18750.000000	78.798
19000.000000	78.732
19250.000000	78.256
19500.000000	77.207
19750.000000	75.675
